*******************************  ?TO DO

gmd:sourceExtent -> 3938

gmd:resolution -> 1892
gmd:MD_RepresentativeFraction/gmd:denominator -> 3624
gmd:spatialResolution/gmd:MD_Resolution -> 2434
gco:Scale -> 1532
gmd:scaleDenominator -> 1269

gmd:aggregationInfo/gmd:MD_AggregateInformation -> 3534
gmd:associationType/gmd:DS_AssociationTypeCode -> 3526
gmd:aggregateDataSetName -> 3403

ns4:TimeInstant -> 3163
ns4:timePosition -> 3163

gmd:contactInstructions -> 2727
gmd:nameOfMeasure -> 2532

gml:TimePeriod -> 2466
gml:beginPosition -> 2466
gmd:spatialRepresentationInfo -> 2460
gml:endPosition -> 2447


gmd:otherCitationDetails -> 2372
gmd:equivalentScale -> 2355

gmd:dimensionSize -> 2192
gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode -> 2095

gmd:environmentDescription -> 1845
gmi:identifier -> 1667
gmd:numberOfDimensions -> 1666
gmd:MD_GridSpatialRepresentation -> 1664
gmd:dateOfNextUpdate -> 1605

gmd:credit -> 1313

gmi:instrument/gmi:MI_Instrument -> 1190
gmd:fileDecompressionTechnique -> 1096
gmd:specification -> 1076



gmi:description -> 994
gco:Record -> 981
gco:attributeType -> 957
gco:TypeName -> 957
gmd:cellGeometry -> 917
gmd:MD_CellGeometryCode -> 917
gmd:transformationParameterAvailability -> 827
gmd:MD_VectorSpatialRepresentation -> 794
gmd:geometricObjects -> 794
gmd:MD_GeometricObjects -> 794
gmd:geometricObjectType -> 787
gmd:MD_GeometricObjectTypeCode -> 787
gmi:type -> 766
gmd:RS_Identifier -> 760
gmd:referenceSystemInfo -> 747
gmd:MD_ReferenceSystem -> 747
gmd:referenceSystemIdentifier -> 747
gmi:citation -> 745
theme -> 732
themekt -> 732
gmd:featureCatalogueCitation -> 731
origin -> 725
gmd:extentTypeCode -> 724
gmd:MD_MediumNameCode -> 715

gmd:mediumFormat -> 630
gmd:MD_MediumFormatCode -> 630
gmd:geometricObjectCount -> 608
country -> 603
gmd:initiativeType -> 588
gmd:DS_InitiativeTypeCode -> 588
gmd:result -> 581
timeinfo -> 574
rngdates -> 572
begdate -> 572
enddate -> 572
ns6:TimePeriod -> 552
ns6:beginPosition -> 552
geoform -> 551
pubinfo -> 550
pubplace -> 550
publish -> 550
gmd:DQ_QuantitativeResult -> 531
cntpos -> 524
ns6:endPosition -> 518
gmd:valueUnit -> 516
gmd:value -> 504
gmi:rangeElement -> 477
ns4:BaseUnit -> 471
gmd:classificationSystem -> 467
gmi:platform -> 462
gmi:MI_Platform -> 462
serinfo -> 402
issue -> 402
sername -> 401
gmd:densityUnits -> 390
gmd:density -> 389
gmd:alternateTitle -> 379
cntfax -> 367
gco:Measure -> 360
placekey -> 351
srcinfo -> 348
srccite -> 348
typesrc -> 348
srctime -> 348
srccitea -> 348
srccontr -> 348
srccurr -> 348
hours -> 344
gmi:sponsor -> 343
srv:operationName -> 337
srv:containsOperations -> 335
srv:SV_OperationMetadata -> 335
srv:connectPoint -> 335
gmd:LI_ProcessStep -> 322
gml:description -> 293
gmd:verticalElement -> 288
gmd:EX_VerticalExtent -> 288
gmd:minimumValue -> 288
gmd:maximumValue -> 288
gmd:DQ_QuantitativeAttributeAccuracy -> 273
stratkey -> 271
metextns -> 267
cntper -> 260
